T0,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
6.0,0.0,29726.051,17.188,345.79,0.0,10677.414,10137.078,0.0,-0.062,-1.31,1.122,0.061,1.63,
6.0,0.0,60425.527,594.966,1611.755,1885.208,7564.525,8099.271,0.0,-1.62,-1.123,0.188,0.732,-0.31,
6.0,0.0,92819.337,436.188,3346.014,1563.0,5053.33,5928.559,0.0,-0.862,-0.783,-0.741,0.366,-0.757,
6.0,0.0,128131.86,305.211,5891.313,824.158,2325.49,2248.04,0.0,-1.519,-0.818,0.629,-0.503,1.093,
6.0,0.0,174089.665,324.225,9243.989,1312.262,5212.826,3816.357,0.0,-1.055,-0.751,0.388,-0.541,0.793,
6.0,0.0,212151.888,270.63,13552.824,628.434,1904.545,947.068,0.0,-1.03,-0.61,0.482,2.04,-0.944,
6.0,0.0,259287.28,49.258,18586.025,1576.0,6773.676,4617.515,0.0,1.281,-0.48,0.572,2.373,1.331,
6.0,0.0,302711.36,299.246,24811.161,628.459,3347.907,1529.706,0.0,-0.97,-0.311,0.022,-2.289,1.053,
6.0,0.0,26973.738,18447.514,1526.41,1758.0,2298.697,4698.241,0.0,-1.465,-0.865,0.73,-0.576,0.451,
6.0,0.0,54750.255,36771.862,1536.619,1322.0,4528.145,5983.485,0.0,-1.343,-0.782,-0.479,0.548,-0.161,
6.0,0.0,83724.656,55221.49,2074.107,3035.0,7361.9,5277.29,0.0,-1.225,-0.881,-2.041,-0.735,1.625,
6.0,0.0,116007.783,70923.309,4735.336,4347.164,7405.615,8103.804,0.0,-1.226,-0.823,-1.516,-0.049,-0.229,
6.0,0.0,157462.57,88953.691,6443.724,5680.023,4191.351,4336.577,0.0,-1.216,-0.755,-1.98,-0.358,-0.171,
6.0,0.0,191990.858,107430.001,9428.635,6720.174,3576.568,3248.945,0.0,-1.145,-0.611,-1.868,2.34,1.331,
6.0,0.0,234527.941,131293.61,12831.593,9135.347,4434.514,2300.979,0.0,-1.088,-0.508,-1.694,-2.372,1.795,
6.0,0.0,272590.573,151144.027,16597.59,11450.476,3960.943,2874.869,0.0,-1.035,-0.389,-1.525,-1.776,0.449,
6.0,145.492,23706.712,16069.089,757.765,813.749,767.764,959.731,0.0,-3.039,-1.092,-0.694,-1.493,-1.585,
6.0,586.796,48070.262,32364.815,1613.368,1540.818,2268.395,2353.851,0.0,-2.913,-1.059,1.379,0.616,-0.357,
6.0,1316.658,73255.68,48640.667,2395.614,1301.87,1505.028,2652.722,0.0,-2.815,-0.961,1.766,0.175,-0.061,
6.0,2718.072,99340.303,62111.333,4281.104,2436.161,889.277,582.104,0.0,-2.783,-1.216,2.455,0.972,-0.023,
6.0,4547.395,130842.742,77687.579,6724.407,4010.893,2420.68,2252.569,0.0,-2.769,-1.069,2.589,0.982,0.042,
6.0,5814.107,161150.174,94447.021,9173.355,5744.025,2710.052,1836.732,0.0,-2.712,-0.716,2.693,0.63,0.197,
6.0,7803.707,194161.221,115975.542,12621.717,7810.27,2409.477,2407.347,0.0,-2.646,-0.397,2.741,-1.24,0.267,
6.0,10182.035,225550.621,133186.031,16229.07,9873.527,3207.181,3730.524,0.0,-2.588,-0.298,2.794,-0.975,0.641,
9.0,0.0,57705.035,124.461,646.77,1099.101,1651.663,1402.217,0.0,-0.526,0.474,-0.05,0.706,-0.708,
9.0,0.0,100042.462,228.753,1552.26,658.987,1556.102,2057.276,0.0,-1.194,0.083,-0.559,-0.321,-0.696,
9.0,0.0,146350.932,485.939,3919.538,313.262,1879.826,1451.322,0.0,-1.036,0.25,0.265,-0.926,0.237,
9.0,0.0,193152.252,314.865,6522.959,1099.303,2178.653,1482.986,0.0,-0.448,0.098,0.147,-1.005,-1.205,
9.0,0.0,235133.513,102.299,10256.864,195.058,2039.571,3209.229,0.0,1.147,0.231,-0.555,-0.516,-1.036,
9.0,0.0,291526.192,406.88,14758.384,609.044,4006.103,2651.772,0.0,-1.042,0.178,-0.649,0.445,-0.838,
9.0,0.0,338469.924,357.776,19910.716,998.557,2727.49,1668.904,0.0,-0.716,0.291,0.628,-1.487,-0.117,
9.0,0.0,389764.643,827.908,25601.975,1551.487,3420.204,2320.218,0.0,-0.884,0.32,0.684,-1.139,1.212,
9.0,0.0,53239.284,11267.888,784.557,1099.265,1464.258,2243.25,0.0,-0.881,-0.825,-0.565,-0.943,0.725,
9.0,0.0,92992.734,23270.503,1437.116,1123.751,949.182,1264.173,0.0,-0.597,0.201,-0.574,-0.466,-0.229,
9.0,0.0,135815.778,39910.179,3082.807,2042.14,1454.852,1031.161,0.0,-0.548,0.142,-0.676,-1.343,-2.222,
9.0,0.0,178378.706,57514.133,4747.703,3410.233,1812.197,4070.335,0.0,-0.684,0.133,-0.878,-1.839,-1.273,
9.0,268.641,216979.358,72510.928,7124.105,4406.405,2257.597,3470.992,0.0,-0.631,0.212,-0.857,-1.24,-0.68,
9.0,422.717,267873.253,94691.857,10271.883,6216.914,3314.14,2436.78,0.0,-0.698,0.157,-0.935,-1.671,-1.802,
9.0,470.359,310526.756,111770.632,13934.827,8827.358,3354.582,1509.45,0.0,-0.652,0.273,-0.733,-1.589,-1.992,
9.0,752.28,356810.155,130653.04,17949.477,11667.234,4778.3,2689.992,0.0,-0.673,0.29,-0.716,-1.527,-1.178,
9.0,142.942,47905.462,10197.539,599.224,1049.573,899.329,827.415,0.0,-2.48,-0.42,1.82,-0.48,-0.045,
9.0,598.114,84156.703,20500.173,1313.929,1016.644,1200.292,1243.358,0.0,-2.205,0.02,-1.957,0.378,0.93,
9.0,1353.014,119480.189,36166.518,3592.057,1412.774,1779.984,1193.353,0.0,-2.105,0.894,-2.329,-0.082,0.135,
9.0,1685.266,158353.563,51748.965,4876.539,2486.268,2369.166,821.684,0.0,-2.176,0.554,-2.536,-0.172,1.14,
9.0,2938.133,191336.545,64954.05,7436.032,4091.043,1544.712,1989.424,0.0,-2.114,0.598,-2.451,-0.118,1.282,
9.0,3804.288,230650.464,86657.855,11894.992,5930.697,4234.584,1782.479,0.0,-2.13,0.844,-2.637,-0.032,0.971,
9.0,6833.283,269585.816,99141.121,13847.713,7818.678,3062.391,2424.762,0.0,-2.175,0.542,-2.512,-0.017,1.433,
9.0,8317.457,308187.763,116423.017,18293.165,10338.599,2988.932,2970.788,0.0,-2.161,0.6,-2.44,0.024,1.772,
12.0,0.0,29462.883,95.496,480.814,438.762,1825.579,866.296,0.0,-0.316,-1.242,-0.0,-0.067,-0.017,
12.0,0.0,61712.195,214.311,1464.275,1739.0,5569.067,9460.734,0.0,1.585,-0.981,-1.325,0.446,-0.124,
12.0,0.0,93833.556,205.632,3125.08,538.72,1688.512,1052.538,0.0,1.367,-0.716,-0.743,1.003,-0.214,
12.0,0.0,130844.966,287.887,5721.123,1941.601,8698.666,7239.452,0.0,-1.204,-0.675,0.419,-0.473,0.499,
12.0,0.0,170386.198,145.665,9007.034,879.0,8339.639,6686.341,0.0,1.492,-0.521,1.435,0.379,-0.253,
12.0,0.0,209223.54,207.19,13241.744,1367.812,15393.841,7049.872,0.0,-1.153,-0.313,-1.027,-0.229,-0.312,
12.0,0.0,265327.212,210.778,18060.169,534.448,11997.982,6213.088,0.0,1.492,-0.216,-1.106,0.17,0.091,
12.0,0.0,310079.791,88.09,23422.316,245.126,7900.075,3346.265,0.0,-1.115,-0.058,0.549,-0.512,0.037,
12.0,0.0,26713.126,6366.399,453.09,495.773,943.639,1418.483,0.0,-1.467,-1.056,-0.356,-0.757,0.047,
12.0,0.0,55970.99,15473.498,1060.084,2054.0,6208.302,7698.8,0.0,-1.39,-0.533,-0.976,-0.064,0.183,
12.0,0.0,85029.068,23698.014,2275.672,1777.665,1006.289,893.452,0.0,-1.3,-0.758,-2.068,1.863,1.187,
12.0,283.835,118579.417,39300.324,3895.611,3029.367,991.176,1688.638,0.0,-1.345,-0.719,-1.983,1.509,1.011,
12.0,484.597,154392.084,52644.024,6199.504,5132.314,2580.594,3035.156,0.0,-1.279,-0.542,-1.751,-0.693,0.752,
12.0,793.229,188769.044,65342.609,8784.845,6738.292,2126.182,1828.888,0.0,-1.219,-0.369,-1.543,-1.629,0.686,
12.0,1119.66,239306.538,85956.617,12039.872,9222.125,4152.523,2388.728,0.0,-1.167,-0.272,-1.391,-2.1,1.998,
12.0,1474.981,279459.023,101255.583,15873.983,11737.788,5749.438,2458.754,0.0,-1.103,-0.093,-1.235,-1.796,2.369,
12.0,132.436,23547.876,5590.123,554.813,502.382,807.112,680.444,0.0,-3.045,-1.08,1.285,-1.084,0.054,
12.0,498.659,49047.815,14825.508,1797.399,751.061,1357.34,771.819,0.0,-2.936,-0.057,1.063,-1.968,0.74,
12.0,1222.238,74507.84,20673.385,2092.322,1504.253,1090.12,928.383,0.0,-2.886,-0.85,2.261,-0.152,-0.195,
12.0,2014.856,103778.449,41278.401,6567.239,2908.468,3577.585,2385.286,0.0,-2.785,0.196,1.676,-1.627,1.417,
12.0,3152.331,133285.189,54008.908,9335.959,4647.262,4481.28,1304.862,0.0,-2.704,0.31,1.946,-1.295,-1.454,
12.0,4799.094,161870.264,56064.67,8717.21,5778.617,1589.656,1694.18,0.0,-2.792,-0.393,2.781,-0.978,0.666,
12.0,6636.123,199456.83,75483.45,12701.693,7360.783,3097.897,1992.146,0.0,-2.708,0.01,2.645,-1.102,0.715,
12.0,8778.776,233151.366,88241.584,16259.068,10122.404,3321.384,1637.239,0.0,-2.654,0.092,-3.062,-0.783,0.808,
